start,end,cost
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJV02yLVhSUkYR5Urrpdyav5w,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJI3hCtFlSUkYRPnfwEKyXdTk,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJOW51C1lSUkYRRv6n34W9-Zg,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJj5kfbFlSUkYRcDRZTsny7_c,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJpyBCaFlSUkYR3LHwM6zxRjU,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJL3cdF1dSUkYRrSCPkRNdtPE,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJgXdTbFdSUkYR33h2wlG_Zwk,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJ64wzbldSUkYR5FeQ9EKDTkU,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJ7feGfFdSUkYRmmsyva5Yh7g,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJRwYQ1llSUkYRMKaZjz2gpdg,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJmQYH01lSUkYRA5sfbpFn4ag,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJaU2CalhSUkYR16Poj9gzgIw,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJt2H3cFhSUkYRAkkFfX87Bq8,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJRZDreVhSUkYRo3ujslhgkNQ,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJuRTCa1hSUkYRZctNq7Wpmys,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJCy4tOFhSUkYR0RImuvsSO1g,inf
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJtYl80VlSUkYRHsPJ77_LXm8,4.3853258000522364e-07
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJwTS011lSUkYROOaIBw6_t6k,6.61969460006778e-07
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJ7-bcfFdSUkYRAi_D5VAiANk,8.666217200025181e-07
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJb-LjZFdSUkYR0IQcqxmpIDY,1.0284075700065818e-06
ChIJk2Y2M1hSUkYR8cXNNRfosIY,ChIJBWUZb1dSUkYR0KDo40YbcFQ,1.2418000700035857e-06
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJDfnLZ1lSUkYRchF_if80LfE,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJsRh_oFlSUkYRkBBHQUeoKcI,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJ9cuitllSUkYRd6ZoiDSinIM,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJk2Y2M1hSUkYR8cXNNRfosIY,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJCy4tOFhSUkYRBiS5iJUrGnY,0
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJj1RhMlhSUkYRxwx00g4P0QE,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJuYkcKlhSUkYRFPCipW5rTvU,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJP6TdhFdSUkYRdrsWKXZMAs8,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJf9Y9sFdSUkYRmaDEJhCweGc,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJozaGTFZSUkYRNtWl2AGUPkI,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJozaGTFZSUkYRjY7TpiWcsro,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJr8hSvVdSUkYR9El_JWHKncY,inf
ChIJCy4tOFhSUkYRBiS5iJUrGnY,ChIJuYkcKlhSUkYRkyJyE8H3_fI,inf
